Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
012303 TC PTR01 11 Alexandria 0 NA Alexandria 8.5 4 HD1__10930 Heifer_[H] 0.714819 1 72 72
012304 TC PBP01 11 Alexandria 0 NA Alexandria 7.5 4 HD1__10942 Heifer_[H] 0.7177 0.939017455766502 47 75
012306 TC NPG07 11 Alexandria 0 NA Alexandria 9 4 HD1__13356 Steer_[S] 0.667631 0.965002257845314 30 145
012308 TC NPG06 11 Alexandria 0 NA Alexandria 9 3 HD1__10519 Steer_[S] 0.676024 1 74 72
012310 TC NPG06 11 Alexandria 0 NA Alexandria 8 2 HD1__13358 Steer_[S] 0.615591 0.941138983460667 30 129
012311 TC PBP01 11 Alexandria 0 NA Alexandria 9 3.5 HD1__10883 Heifer_[H] 0.664544 1 72 74
012313 TC PTR01 11 Alexandria 0 NA Alexandria 6.5 2 HD1__498 Heifer_[H] 0.649191 0.932345610086123 126 72
012315 TC PBP01 11 Alexandria 0 NA Alexandria 9 3.5 HD1__499 Heifer_[H] 0.626893 0.997867359772814 72 30
012320 TC NPG02 11 Alexandria 0 NA NA 7 3.5 HD1__13361 Steer_[S] 0.731451 1 162 130
012322 TC PTR01 11 Alexandria 0 NA Alexandria 8.5 2 HD1__500 Heifer_[H] 0.69598 1 6 30
012324 TC NPG02 11 Alexandria 0 NA NA 8 4 HD1__44 Steer_[S] 0.678144 0.969852224235318 47 95
012326 TC NPG07 11 Alexandria 0 NA Alexandria 6.66667 4 HD1__10520 Steer_[S] 0.639504 0.993680975986404 98 145
012327 TC NPG07 11 Alexandria 0 NA Alexandria 5.66667 2.66667 HD1__10521 Steer_[S] 0.749413 0.963296158579818 126 129
012328 TC NPG02 11 Alexandria 0 NA NA 7 6 HD1__45 Steer_[S] 0.671328 1 44 30
012329 TC NPG06 11 Alexandria 0 NA Alexandria 9 2 HD1__10522 Steer_[S] 0.683909 1 91 72
012334 TC PTR01 11 Alexandria 0 NA Alexandria 9 2 HD1__10953 Heifer_[H] 0.637996 1 72 72
012339 TC PTR01 11 Alexandria 0 NA Alexandria 8 4 HD1__501 Heifer_[H] 0.689211 0.995109617636944 36 143
012342 TC PBP01 11 Alexandria 0 NA Alexandria 9 2 HD1__10896 Heifer_[H] 0.615336 1 72 72
012345 TC NPG07 11 Alexandria 0 NA Alexandria 8 2 HD1__13364 Steer_[S] 0.689947 0.915425796265155 129 72
012347 TC NPG06 11 Alexandria 0 NA Alexandria 8 1.66667 HD1__10525 Steer_[S] 0.703572 1 72 72
012348 TC NPG02 11 Alexandria 0 NA NA 7 4 HD1__46 Steer_[S] 0.691889 0.910529036437775 95 129
012349 TC PBP01 11 Alexandria 0 NA Alexandria 8 4 HD1__10726 Heifer_[H] 0.704595 1 44 30
012351 TC NPG06 11 Alexandria 0 NA Alexandria 9 4 HD1__13365 Steer_[S] 0.670863 0.956130998442426 145 6
012353 TC NPG07 11 Alexandria 0 NA Alexandria 9 4 HD1__13366 Steer_[S] 0.663329 0.997867359772814 72 30
012355 TC NPG07 11 Alexandria 0 NA Alexandria 7.33333 2 HD1__47 Steer_[S] 0.654287 0.915425796265155 129 72
012356 TC PBP01 11 Alexandria 0 NA Alexandria 7.5 2 HD1__10733 Heifer_[H] 0.644153 0.915425796265155 129 72
012357 TC PTR01 11 Alexandria 0 NA Alexandria 8 4 HD1__10954 Heifer_[H] 0.682789 0.969852224235318 47 95
012363 TC NPG07 11 Alexandria 0 NA Alexandria 6 3 HD1__10526 Steer_[S] 0.723205 0.970225887768845 72 63
012365 TC PTR01 11 Alexandria 0 NA Alexandria 6.5 4 HD1__10897 Heifer_[H] 0.662706 1 129 17
012369 TC NPG02 11 Alexandria 0 NA NA 7 2 HD1__13368 Steer_[S] 0.674925 0.932345610086123 126 72
012374 TC NPG06 11 Alexandria 0 NA Alexandria 9 3 HD1__10528 Steer_[S] 0.636502 1 72 72
012378 TC NPG07 11 Alexandria 0 NA Alexandria 6.33333 4.33333 HD1__13370 Steer_[S] 0.673582 0.956130998442426 145 6
012379 TC NPG06 11 Alexandria 0 NA Alexandria 8 4.66667 HD1__13371 Steer_[S] 0.709417 1 51 30
012381 TC PTR01 12 Alexandria 0 NA Alexandria 8.5 4 HD1__10933 Heifer_[H] 0.688111 0.915425796265155 72 129
012382 TC NPG06 12 Alexandria 0 NA Alexandria 9 4 HD1__50 Steer_[S] 0.678756 0.941138983460667 129 30
012384 TC PBP01 12 Alexandria 0 NA Alexandria 9 2 HD1__10944 Heifer_[H] 0.692866 1 72 72
012385 TC NPG02 12 Alexandria 0 NA NA 8 4 HD1__13372 Steer_[S] 0.683179 0.953515629566798 72 145
012392 TC NPG02 12 Alexandria 0 NA NA 9 2 HD1__10529 Steer_[S] 0.713557 1 72 72
012394 TC NPG07 12 Alexandria 0 NA Alexandria 6.66667 1 HD1__10530 Steer_[S] 0.710069 1 72 72
